player,difference_in_salary,estimated_salary,actual_salary
Omer Asik,-7442329.64982151,3153175.35017849,10595505
Omri Casspi,3851105.46845439,5322487.46845439,1471382
Pascal Siakam,5773988.25517977,7086599.25517977,1312611
Pat Connaughton,1084199.40100961,2555581.40100961,1471382
Patrick Beverley,355336.365425877,5868850.36542588,5513514
Patrick McCaw,217818.00594222,1530429.00594222,1312611
Patrick Patterson,-902328.582600102,4289671.4173999,5192000
Patty Mills,-5180900.46450047,5533385.53549953,10714286
Pau Gasol,-2878708.50624097,13121291.493759,1.6E+07
Paul George,-4235301.59324821,15273656.4067518,19508958
Paul Millsap,-20554180.2032868,10715050.7967132,31269231
Paul Zipser,973431.425497322,2286042.42549732,1312611
Quincy Acy,867953.424481983,2577491.42448198,1709538
Quincy Pondexter,-1663467.35752941,2190463.64247059,3853931
Rajon Rondo,3865259.85078813,7165259.85078813,3300000
Rajon Rondo,4165259.85078813,7165259.85078813,3E+06
Ramon Sessions,6808646.72072763,7199352.72072763,390706
Ramon Sessions,5727970.72072763,7199352.72072763,1471382
Rashad Vaughn,1007817.24013334,1174075.24013334,166258
Rashad Vaughn,-714964.759866664,1174075.24013334,1889040
Raul Neto,1350628.68136074,2822010.68136074,1471382
Raymond Felton,6600660.55702127,8072042.55702127,1471382
Reggie Bullock,1707687.93786887,4207687.93786887,2500000
Reggie Jackson,-6598707.04224048,9401292.95775952,1.6E+07
Richard Jefferson,7447357.23725167,8902113.23725167,1454756
Richard Jefferson,6402113.23725167,8902113.23725167,2500000
Richaun Holmes,3605453.83144749,5076835.83144749,1471382
Ricky Rubio,-6462684.93055243,7812315.06944757,14275000
Robert Covington,-7437937.6779436,9260165.3220564,16698103
Robin Lopez,-7533006.23192413,6255493.76807587,13788500
Rodney Hood,6638166.13175863,9025030.13175863,2386864
Rodney McGruder,2708756.25189781,4021367.25189781,1312611
Rodney Purvis,3527179.85704581,3688459.85704581,161280
Ron Baker,-3254655.42084202,1073344.57915798,4328000
Rondae Hollis-Jefferson,5413273.9468831,6884655.9468831,1471382
Royce O'Neale,2066609.83780947,2882224.83780947,815615
Rudy Gay,5194833.55711195,13600833.5571119,8406000
Rudy Gobert,-13855208.2430544,8119510.75694555,21974719
Russell Westbrook,-10455882.8532908,18074725.1467092,28530608
Ryan Anderson,-10513670.8439053,9064784.15609469,19578455
Salah Mejri,-20859.948130908,1450522.05186909,1471382
Sam Dekker,1307752.6678168,3102352.6678168,1794600
Scotty Hopson,-716746.167242367,-642587.167242367,74159
Sean Kilpatrick,6811400.3916037,6977658.3916037,166258
Sean Kilpatrick,6187933.3916037,6977658.3916037,789725
Sean Kilpatrick,5453353.3916037,6977658.3916037,1524305
Sean Kilpatrick,4814652.3916037,6977658.3916037,2163006
Semi Ojeleye,-271068.215376883,1020823.78462312,1291892
Serge Ibaka,-11120726.022079,8941002.97792097,20061729
Shabazz Muhammad,5653879.86675828,5978082.86675828,324203
Shabazz Muhammad,4739466.86675828,5978082.86675828,1238616
Shabazz Napier,1566770.22926023,3928130.22926023,2361360
Shane Larkin,1526643.47780943,2998025.47780943,1471382
Shaquille Harrison,3854150.15403779,4121310.15403779,267160
Shaun Livingston,-3891674.64370427,3800633.35629573,7692308
Shelvin Mack,-2098721.66565247,3901278.33434753,6E+06
Sindarius Thornwell,-204252.829636474,611362.170363526,815615
Skal Labissiere,3606094.93992455,4918705.93992455,1312611
Solomon Hill,-8932070.54718641,3304464.45281359,12236535
Spencer Dinwiddie,6328585.66031107,7852890.66031107,1524305
Stanley Johnson,1303433.4940142,4401233.4940142,3097800
Stephen Curry,-16170884.2362136,18511665.7637864,34682550
Sterling Brown,2028675.70644502,2844290.70644502,815615
Steven Adams,-15638774.1733272,6833135.82667277,22471910
T.J. McConnell,2565981.50726789,4037363.50726789,1471382
T.J. Warren,7606910.8876079,10759841.8876079,3152931
Taj Gibson,-7202476.87176881,6797523.12823119,1.4E+07
Tarik Black,-481186.713777501,2808813.2862225,3290000
Taurean Prince,5724092.4114072,8146652.4114072,2422560
Terrance Ferguson,1080052.55259877,2865052.55259877,1785000
Terrence Ross,-2951485.97885159,7548514.02114841,10500000
Terry Rozier,3072623.13459595,5061143.13459595,1988520
Thabo Sefolosha,-1793008.86360353,3456991.13639647,5250000
Thaddeus Young,-4853580.75559156,9942767.24440844,14796348
Thomas Bryant,4946115.15298231,5761730.15298231,815615
Thon Maker,-352271.992033896,2331888.0079661,2684160
Tim Frazier,676077.91849314,2676077.91849314,2E+06
Tim Hardaway Jr.,-6875805.18775504,9624194.81224496,16500000
Tim Quarterman,-449368.847757831,-352962.847757831,96406
Timofey Mozgov,-10921811.4386286,4358188.5613714,15280000
Timothe Luwawu-Cabarrot,1942732.13883699,3329332.13883699,1386600
Tobias Harris,-4403175.16650178,11596824.8334982,1.6E+07
Tomas Satoransky,1120954.61118086,4120954.61118086,3E+06
Tony Allen,3826155.33879848,5297537.33879848,1471382
Tony Bradley,-1772771.75417609,-357851.75417609,1414920
Tony Parker,-3857643.61365005,11595482.38635,15453126
Tony Snell,-6195410.14624324,3626018.85375676,9821429
Travis Wear,1840536.07230247,2137172.07230247,296636
Treveon Graham,584504.40399579,1897115.40399579,1312611
Trevor Ariza,54628.854965209,7475540.85496521,7420912
Trevor Booker,-4335553.0577826,4389446.9422174,8725000
Trevor Booker,4056930.9422174,4389446.9422174,332516
Trey Burke,7041499.31390759,7825659.31390759,784160
Trey Lyles,2548216.07873024,4989616.07873024,2441400
Trey McKinney-Jones,-1858115.32649835,-1812035.32649835,46080
Tristan Thompson,-10176473.5291496,6223526.47085035,16400000
Troy Daniels,898969.370376082,4307489.37037608,3408520
Troy Williams,2139090.29617661,3610472.29617661,1471382
Troy Williams,3239678.29617661,3610472.29617661,370794
Ty Lawson,9416995.93455068,9425308.93455068,8313
Tyler Cavanaugh,642452.70297032,1372371.70297032,729919
Tyler Dorsey,3240535.78733784,4056150.78733784,815615
Tyler Ennis,554267.745887779,2078572.74588778,1524305
Tyler Johnson,1943336.57698064,7824596.57698064,5881260
Tyler Lydon,-3184601.05196564,-1605161.05196564,1579440
Tyler Ulis,3440782.74839606,4753393.74839606,1312611
Tyler Zeller,2734847.38400061,4444385.38400061,1709538
Tyreke Evans,8607829.58545889,11897829.5854589,3290000
Tyson Chandler,-7398310.49970343,5601689.50029657,1.3E+07
Tyus Jones,1229662.22028621,2701044.22028621,1471382
Udonis Haslem,3913766.69455905,5385148.69455905,1471382
Victor Oladipo,-7579752.67652091,13420247.3234791,2.1E+07
Vince Carter,5146782.61922608,13146782.6192261,8E+06
Wayne Ellington,-908060.600990839,5361939.39900916,6270000
Wayne Selden,3370050.53898363,4682661.53898363,1312611
Wesley Johnson,-1475830.54913783,4405429.45086217,5881260
Wesley Matthews,-7734992.19473087,10149183.8052691,17884176
